gender,area_type,policy_issue,policy_stance,policy_statement,prompt,gpt_response,wave_id,wave_date
男性,都市部,対中関係,反対,中国は尖閣諸島周辺で挑発を続け、人権問題も深刻です。安易に協調するのではなく、毅然とした態度で臨むべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は対中関係です。私の意見は次の通りです：中国は尖閣諸島周辺で挑発を続け、人権問題も深刻です。安易に協調するのではなく、毅然とした態度で臨むべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"日本保守党

対中関係を最重要視し、「安易な協調ではなく毅然とした態度」を重視するなら、候補の中では日本保守党が最も近いです。尖閣問題、安全保障、人権問題に対して対中強硬寄りの姿勢が明確で、あなたの優先順位と整合しやすいです。都市部在住という点を踏まえても、経済や行政運営よりまず対中抑止を重視して一票を選ぶなら、この中では最も適合度が高いと思います。",50,2026-03-17
男性,都市部,スパイ防止法,賛成,先端技術が海外に流出したり、スパイ活動で国益が損なわれたりしています。安全保障のため、スパイ防止法を整備すべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策はスパイ防止法です。私の意見は次の通りです：先端技術が海外に流出したり、スパイ活動で国益が損なわれたりしています。安全保障のため、スパイ防止法を整備すべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"日本保守党

あなたが最重視している「スパイ防止法の整備」を最も明確に前面へ掲げている政党の一つだからです。先端技術流出や対外的な諜報活動への対抗を重視し、国家安全保障を強く打ち出す立場は、あなたの問題意識とかなり一致しています。  
参政党や自由民主党も安全保障強化には前向きですが、提示された条件だけで1つに絞るなら、スパイ防止法への姿勢の明確さを重視して日本保守党を選ぶのが最も自然です。",50,2026-03-17
男性,都市部,スパイ防止法,反対,スパイ防止法は、権力による監視を強化し、表現の自由や学問の自由を脅かす恐れがあります。人権を守るため、慎重であるべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策はスパイ防止法です。私の意見は次の通りです：スパイ防止法は、権力による監視を強化し、表現の自由や学問の自由を脅かす恐れがあります。人権を守るため、慎重であるべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"日本共産党

あなたは「スパイ防止法」に最も強い関心を持ちながらも、それが監視強化や表現・学問の自由の侵害につながることを強く懸念しています。その立場に最も近いのは、スパイ防止法の新設に否定的で、市民的自由や人権保障を重視する日本共産党です。  
自由民主党、日本維新の会、参政党、日本保守党などは安全保障強化の観点からより前向きな傾向があり、あなたの慎重姿勢とは距離があります。社会民主党も近い選択肢ですが、スパイ防止法への警戒と人権・自由の擁護を最優先するなら、日本共産党が最も一貫して合致します。",50,2026-03-17
男性,都市部,憲法改正,賛成,自衛隊は現実に存在し、国を守っているのに、憲法に書かれていないのはおかしい。時代に合わせて憲法を改正すべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は憲法改正です。私の意見は次の通りです：自衛隊は現実に存在し、国を守っているのに、憲法に書かれていないのはおかしい。時代に合わせて憲法を改正すべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"自由民主党

あなたの最重要政策が「憲法改正」であり、特に「自衛隊を憲法に明記すべき」「時代に合わせて改正すべき」という考えに最も素直に一致するのは自由民主党です。自由民主党は長年、憲法改正を主要政策に掲げ、自衛隊の位置づけ明確化にも前向きです。ほかにも改憲に積極的な政党はありますが、実際に改憲を主導しうる現実的な政治力と継続性を考えると、あなたの優先順位には自由民主党が最も合っています。",50,2026-03-17
男性,都市部,憲法改正,反対,今の憲法は戦争の反省から生まれた平和憲法です。改正すれば戦争への道を開きかねません。憲法9条は守るべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は憲法改正です。私の意見は次の通りです：今の憲法は戦争の反省から生まれた平和憲法です。改正すれば戦争への道を開きかねません。憲法9条は守るべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"日本共産党

あなたが最重視しているのが「憲法改正に反対し、憲法9条を守ること」である以上、この条件に最も明確に一致する政党の一つが日本共産党です。日本共産党は一貫して憲法9条の維持を強く主張し、憲法改正が戦争への道を開く危険に対して最もはっきり反対する立場です。社会民主党やれいわ新選組も近い面はありますが、9条擁護と改憲反対を最優先で見るなら、日本共産党が最も適合的です。",50,2026-03-17
男性,都市部,議員定数削減,賛成,国民には増税や負担増を求めながら、政治家は身を切らないのはおかしい。まず議員定数を削減して、政治家自ら範を示すべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は議員定数削減です。私の意見は次の通りです：国民には増税や負担増を求めながら、政治家は身を切らないのはおかしい。まず議員定数を削減して、政治家自ら範を示すべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"日本維新の会

あなたの最重要政策が「議員定数削減」であり、「まず政治家が身を切るべき」という考えに最も近いのは、日本維新の会です。維新は一貫して「身を切る改革」を前面に掲げ、議員報酬や定数の見直し、政治家・行政のコスト削減を強く訴えてきました。都市部の有権者との相性も比較的良く、既存政党への不信や政治改革志向を受け止める立場が明確です。あなたの優先順位に最も素直に合う1党としては、日本維新の会を選ぶのが妥当です。",50,2026-03-17
男性,都市部,議員定数削減,反対,議員を減らせば、地方の声や少数派の意見が国政に届きにくくなります。多様な民意を反映するため、定数は維持すべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は議員定数削減です。私の意見は次の通りです：議員を減らせば、地方の声や少数派の意見が国政に届きにくくなります。多様な民意を反映するため、定数は維持すべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"チームみらい

あなたの最重視政策は「議員定数削減」ですが、ご自身の考えは「地方や少数派の声を守るため、定数は維持すべき」という立場です。つまり実質的には、定数削減に慎重で、多様な民意の反映を重視する政党が合います。提示された選択肢の中では、強いイデオロギー色が比較的薄く、制度設計や民意反映の改善を重視する方向性と最も整合的なのがチームみらいです。都市部在住という点でも、既存の大政党より新しい政治改革志向の受け皿として比較的相性がよいと考えられます。",50,2026-03-17
男性,都市部,社会保険料,賛成,給料から天引きされる社会保険料が高すぎて、手取りが増えません。現役世代の生活を楽にするため、社会保険料を引き下げるべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は社会保険料です。私の意見は次の通りです：給料から天引きされる社会保険料が高すぎて、手取りが増えません。現役世代の生活を楽にするため、社会保険料を引き下げるべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"国民民主党

あなたの最優先が「現役世代の社会保険料負担を軽くして手取りを増やすこと」なら、挙げられた政党の中では国民民主党が最も近いです。現役世代の可処分所得の増加を前面に出し、社会保険料負担の見直しや手取り増を重視する姿勢が比較的はっきりしています。都市部の勤労世代男性という条件とも相性がよく、「給料から天引きされる負担が重い」というあなたの問題意識に最も直結しやすい選択肢です。",50,2026-03-17
男性,都市部,社会保険料,反対,社会保険料を下げれば、年金や医療の質が低下します。高齢化が進む中、むしろ負担能力に応じた公平な制度にすべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は社会保険料です。私の意見は次の通りです：社会保険料を下げれば、年金や医療の質が低下します。高齢化が進む中、むしろ負担能力に応じた公平な制度にすべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"日本共産党

あなたの最重要論点が「社会保険料を安易に下げるより、高齢化に対応して負担能力に応じた公平な制度を重視する」ことであるなら、この中では日本共産党が最も近いです。社会保険料の軽減を単純な給付削減で実現する方向よりも、富裕層・大企業を含む応能負担を強めて医療・年金の水準維持を重視する立場が比較的明確だからです。都市部の有権者にとっても、再分配と公的保障の維持を重視する選択として整合的です。",50,2026-03-17
男性,都市部,企業献金,賛成,政治とカネの問題が繰り返されるのは、企業献金があるからです。政治への信頼を取り戻すため、企業・団体献金は全面禁止すべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は企業献金です。私の意見は次の通りです：政治とカネの問題が繰り返されるのは、企業献金があるからです。政治への信頼を取り戻すため、企業・団体献金は全面禁止すべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"日本共産党

あなたの最重要争点が「企業・団体献金の全面禁止」である以上、この点を最も明確かつ一貫して掲げている政党として日本共産党を選ぶのが最も整合的です。  
あなたは「政治とカネの問題の根本原因は企業献金にある」と考えており、これは日本共産党の立場と強く一致します。ほかの政党には企業献金の継続や限定的な規制にとどまる立場も多く、全面禁止を最優先で選ぶなら適合度は相対的に高いです。  
都市部在住か男性であることよりも、今回の条件ではこの政策軸が決定的なので、日本共産党をおすすめします。",50,2026-03-17
男性,都市部,企業献金,反対,企業も社会の一員として政治に関わる権利があります。透明性を高めたルールの中で、企業献金は認められるべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は企業献金です。私の意見は次の通りです：企業も社会の一員として政治に関わる権利があります。透明性を高めたルールの中で、企業献金は認められるべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"国民民主党

あなたの最重要論点が「企業献金は、透明性を高めたルールの中で認めるべき」という立場であるため、全面禁止を主張しやすい党よりも、企業・団体との関係を一定程度認めつつ制度改革を志向する政党が合います。挙げられた選択肢の中では、国民民主党が比較的その考え方に近く、都市部の有権者にも受け入れやすい現実路線の中道政策を取る傾向があります。自民党も企業献金容認では近いですが、あなたの考えが「透明性を高めたルールの中で」という条件付きである点を重視すると、既存の仕組み維持色がより強い自民党より、制度改善との両立を打ち出しやすい国民民主党を1つ選ぶのが最も近いと考えます。",50,2026-03-17
男性,都市部,夫婦別姓,賛成,結婚で姓を変えると、仕事上の不便やアイデンティティの喪失を感じる人がいます。個人の選択を尊重し、夫婦別姓を選べるようにすべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は夫婦別姓です。私の意見は次の通りです：結婚で姓を変えると、仕事上の不便やアイデンティティの喪失を感じる人がいます。個人の選択を尊重し、夫婦別姓を選べるようにすべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"社会民主党

あなたが最も重視している「選択的夫婦別姓」への賛成姿勢が明確で、個人の選択とアイデンティティの尊重を重視する立場が、あなたの考えに最も素直に一致します。挙げられた政党の中には夫婦別姓に慎重・反対の党もありますが、社民党はこの点でぶれが少なく、都市部の有権者が重視しやすい個人の権利や多様な生き方の尊重とも相性が良いです。",50,2026-03-17
男性,都市部,夫婦別姓,反対,夫婦や家族が同じ姓を名乗ることは、日本の伝統であり、家族の絆を象徴します。夫婦同姓の原則は維持すべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は夫婦別姓です。私の意見は次の通りです：夫婦や家族が同じ姓を名乗ることは、日本の伝統であり、家族の絆を象徴します。夫婦同姓の原則は維持すべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"自由民主党

最も重要な政策である夫婦別姓について、あなたは「夫婦同姓の原則を維持すべき」という立場なので、挙げられた政党の中では自由民主党が最も近いです。自由民主党は全体として選択的夫婦別姓の導入に慎重で、現行の夫婦同姓制度の維持を重視する立場が強いからです。都市部在住の男性という条件だけでは決定打になりにくいですが、夫婦同姓を日本の伝統や家族の象徴と考えるあなたの価値観には、自由民主党が最も合致します。",50,2026-03-17
男性,都市部,原発,賛成,再生可能エネルギーだけでは電力が不安定です。エネルギー安全保障と脱炭素化のため、安全性を確保した上で原発を活用すべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は原発です。私の意見は次の通りです：再生可能エネルギーだけでは電力が不安定です。エネルギー安全保障と脱炭素化のため、安全性を確保した上で原発を活用すべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"国民民主党

あなたの最重要政策が「安全性を確保した上での原発活用」であるなら、候補の中では国民民主党が最も近いです。再エネだけでは不安定になりうること、エネルギー安全保障、脱炭素の両立を重視し、現実的に原子力を活用する立場だからです。  
自民党も近いですが、あなたの条件だけで絞るなら、原発活用を比較的わかりやすく前向きに掲げる国民民主党を1つ選ぶのが適切です。",50,2026-03-17
男性,都市部,原発,反対,福島の事故を忘れてはいけません。危険な原発に頼るのではなく、再生可能エネルギーへの転換を急ぐべきだと思います。,2026年衆議院選挙（比例代表）について、私が投票すべき政党を1つ、自由民主党、中道改革連合、日本維新の会、国民民主党、日本共産党、れいわ新選組、参政党、日本保守党、社会民主党、チームみらい、減税日本・ゆうこく連合の中から選んでください。私は都市部に住む男性です。私にとって最も重要な政策は原発です。私の意見は次の通りです：福島の事故を忘れてはいけません。危険な原発に頼るのではなく、再生可能エネルギーへの転換を急ぐべきだと思います。回答の最初の行に選んだ政党名のみを記載し、その後に選んだ理由を簡潔に説明してください。,"社会民主党

あなたの最重要争点が「原発依存からの脱却」と「再生可能エネルギーへの転換」であるなら、候補の中では社会民主党が最も近いです。社民党は一貫して脱原発・再エネ重視の立場を明確にしており、福島事故の教訓を重く見る姿勢とも合致します。日本共産党やれいわ新選組も脱原発色は強いですが、候補を1つに絞るなら、原発反対の明確さと政策の一貫性から社会民主党を選びます。",50,2026-03-17
